timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
10.00;359.208794;5;263965140#2_0;30.440503;0.000000;9.305396;DEFAULT_VEHTYPE;9.230047;45.477351
10.00;178.954203;6;-263965140#3_0;22.855229;0.000000;6.775177;DEFAULT_VEHTYPE;9.229988;45.478278
10.00;358.954203;7;263965140#3_0;14.995838;0.000000;4.997919;DEFAULT_VEHTYPE;9.230038;45.477855
10.00;269.433473;8;-60361104#3_0;12.792774;0.000000;5.111323;DEFAULT_VEHTYPE;9.232054;45.476949
11.00;359.741021;0;264485089_0;106.890678;0.000000;14.453364;DEFAULT_VEHTYPE;9.234400;45.475275
11.00;359.426270;1;264485089_0;59.447167;0.000000;12.975251;DEFAULT_VEHTYPE;9.234402;45.474848
11.00;89.660807;10;329092952_0;7.546481;0.000000;2.446481;DEFAULT_VEHTYPE;9.227135;45.479234
11.00;269.433473;11;-60361104#3_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.232152;45.476949
11.00;359.426270;2;264485089_0;26.736090;0.000000;8.457769;DEFAULT_VEHTYPE;9.234405;45.474553
11.00;89.660807;3;329092952_0;72.061284;0.000000;15.448635;DEFAULT_VEHTYPE;9.227961;45.479236
11.00;359.426270;4;264485089_0;7.634718;0.000000;2.534718;DEFAULT_VEHTYPE;9.234407;45.474381
11.00;359.208794;5;263965140#2_0;40.927318;0.000000;10.486815;DEFAULT_VEHTYPE;9.230045;45.477445
11.00;178.954203;6;-263965140#3_0;32.201797;0.000000;9.346568;DEFAULT_VEHTYPE;9.229989;45.478194
11.00;358.954203;7;263965140#3_0;21.763736;0.000000;6.767898;DEFAULT_VEHTYPE;9.230037;45.477916
11.00;269.433473;8;-60361104#3_0;20.417003;0.000000;7.624229;DEFAULT_VEHTYPE;9.231956;45.476948
12.00;359.741021;0;264485089_0;121.570923;0.000000;14.680245;DEFAULT_VEHTYPE;9.234399;45.475407
12.00;359.426270;1;264485089_0;71.626257;0.000000;12.179090;DEFAULT_VEHTYPE;9.234401;45.474957
12.00;89.660807;10;329092952_0;11.294353;0.000000;3.747872;DEFAULT_VEHTYPE;9.227183;45.479234
12.00;269.433473;11;-60361104#3_0;7.335113;0.000000;2.235113;DEFAULT_VEHTYPE;9.232124;45.476949
12.00;359.068729;12;211138994#0_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.230021;45.478620
12.00;359.426270;2;264485089_0;36.762674;0.000000;10.026584;DEFAULT_VEHTYPE;9.234405;45.474644
12.00;89.660807;3;329092952_0;89.486690;0.000000;17.425407;DEFAULT_VEHTYPE;9.228183;45.479236
12.00;359.426270;4;264485089_0;12.109696;0.000000;4.474979;DEFAULT_VEHTYPE;9.234407;45.474422
12.00;359.208794;5;263965140#2_0;52.095276;0.000000;11.167957;DEFAULT_VEHTYPE;9.230044;45.477546
12.00;178.954203;6;-263965140#3_0;44.071954;0.000000;11.870157;DEFAULT_VEHTYPE;9.229992;45.478087
12.00;358.954203;7;263965140#3_0;30.509677;0.000000;8.745941;DEFAULT_VEHTYPE;9.230035;45.477994
12.00;269.433473;8;-60361104#3_0;30.618302;0.000000;10.201300;DEFAULT_VEHTYPE;9.231826;45.476948
13.00;359.217085;0;264485089_0;135.281362;0.000000;13.710439;DEFAULT_VEHTYPE;9.234398;45.475530
13.00;359.426270;1;264485089_0;84.402267;0.000000;12.776010;DEFAULT_VEHTYPE;9.234400;45.475072
13.00;89.660807;10;329092952_0;17.512897;0.000000;6.218544;DEFAULT_VEHTYPE;9.227263;45.479234
13.00;269.433473;11;-60361104#3_0;11.232222;0.000000;3.897110;DEFAULT_VEHTYPE;9.232074;45.476949
13.00;359.068729;12;211138994#0_0;6.499670;0.000000;1.399670;DEFAULT_VEHTYPE;9.230021;45.478633
13.00;359.134816;13;264485079#2_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.234372;45.477698
13.00;359.426270;2;264485089_0;49.086670;0.000000;12.323995;DEFAULT_VEHTYPE;9.234403;45.474754
13.00;89.660807;3;329092952_0;108.494790;0.000000;19.008100;DEFAULT_VEHTYPE;9.228427;45.479237
13.00;359.426270;4;264485089_0;18.766680;0.000000;6.656983;DEFAULT_VEHTYPE;9.234406;45.474482
13.00;359.208794;5;263965140#2_0;62.658644;0.000000;10.563369;DEFAULT_VEHTYPE;9.230042;45.477641
13.00;178.954203;6;-263965140#3_0;57.380703;0.000000;13.308749;DEFAULT_VEHTYPE;9.229994;45.477967
13.00;358.954203;7;263965140#3_0;41.248137;0.000000;10.738460;DEFAULT_VEHTYPE;9.230033;45.478091
13.00;269.433473;8;-60361104#3_0;42.351687;0.000000;11.733385;DEFAULT_VEHTYPE;9.231675;45.476947
13.00;359.426270;9;264485089_0;5.100000;0.000000;0.000000;DEFAULT_VEHTYPE;9.234407;45.474359
14.00;359.217085;0;264485089_0;149.195790;0.000000;13.914428;DEFAULT_VEHTYPE;9.234396;45.475656
14.00;359.741021;1;264485089_0;96.818372;0.000000;12.416105;DEFAULT_VEHTYPE;9.234400;45.475184
14.00;89.660807;10;329092952_0;26.312624;0.000000;8.799727;DEFAULT_VEHTYPE;9.227375;45.479234
14.00;269.433473;11;-60361104#3_0;17.343873;0.000000;6.111650;DEFAULT_VEHTYPE;9.231995;45.476948
