timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
19.00;358.94;t_1;263965140#0_0;2.51;0.00;14.63;DEFAULT_VEHTYPE;261.44;298.97
19.00;359.20;t_2;264485089#2_0;46.51;0.00;12.88;DEFAULT_VEHTYPE;600.27;239.97
19.00;89.60;t_3;264617946_0;66.09;0.00;4.52;DEFAULT_VEHTYPE;246.25;747.42
20.00;359.21;t_1;263965140#0_0;16.42;0.00;13.91;DEFAULT_VEHTYPE;261.23;312.88
20.00;359.20;t_2;264485089#2_0;58.81;0.00;12.29;DEFAULT_VEHTYPE;600.09;252.27
20.00;108.16;t_3;:251745085_2_0;4.68;0.00;5.46;DEFAULT_VEHTYPE;251.33;745.91
21.00;359.21;t_1;263965140#0_0;30.65;0.00;14.23;DEFAULT_VEHTYPE;261.03;327.11
21.00;359.20;t_2;264485089#2_0;71.54;0.00;12.74;DEFAULT_VEHTYPE;599.92;265.00
21.00;170.53;t_3;-264617942_0;1.74;0.00;6.08;DEFAULT_VEHTYPE;252.71;740.14
22.00;359.21;t_1;263965140#0_0;44.20;0.00;13.55;DEFAULT_VEHTYPE;260.84;340.66
22.00;359.20;t_2;264485089#2_0;84.07;0.00;12.53;DEFAULT_VEHTYPE;599.74;277.53
22.00;179.47;t_3;-264617942_0;9.31;0.00;7.57;DEFAULT_VEHTYPE;252.78;732.57
23.00;359.21;t_1;263965140#0_0;58.62;0.00;14.42;DEFAULT_VEHTYPE;260.64;355.08
23.00;359.58;t_2;:2701614261_3_0;4.01;0.00;11.87;DEFAULT_VEHTYPE;599.61;289.40
23.00;179.47;t_3;-264617942_0;18.89;0.00;9.58;DEFAULT_VEHTYPE;252.87;722.99
24.00;359.21;t_1;263965140#0_0;72.19;0.00;13.57;DEFAULT_VEHTYPE;260.46;368.65
24.00;359.85;t_2;264485075_0;1.79;0.00;12.06;DEFAULT_VEHTYPE;599.56;301.46
24.00;179.47;t_3;-264617942_0;29.95;0.00;11.06;DEFAULT_VEHTYPE;252.97;711.93
25.00;359.24;t_1;263965140#3_0;5.20;0.00;14.14;DEFAULT_VEHTYPE;260.27;382.78
25.00;0.17;t_2;264485075_0;13.98;0.00;12.19;DEFAULT_VEHTYPE;599.59;313.65
25.00;179.47;t_3;-264617942_0;42.41;0.00;12.46;DEFAULT_VEHTYPE;253.08;699.47
26.00;359.24;t_1;263965140#3_0;18.64;0.00;13.44;DEFAULT_VEHTYPE;260.09;396.22
26.00;359.89;t_2;:283840346_1_0;2.90;0.00;12.65;DEFAULT_VEHTYPE;599.60;326.29
26.00;179.47;t_3;-264617942_0;56.73;0.00;14.32;DEFAULT_VEHTYPE;253.22;685.15
27.00;359.24;t_1;263965140#3_0;32.64;0.00;14.00;DEFAULT_VEHTYPE;259.91;410.22
27.00;359.17;t_2;264485079#0_0;4.27;0.00;12.43;DEFAULT_VEHTYPE;599.49;338.72
27.00;179.40;t_3;:256985156_6_0;6.71;0.00;16.58;DEFAULT_VEHTYPE;253.38;668.58
28.00;359.24;t_1;263965140#3_0;46.79;0.00;14.15;DEFAULT_VEHTYPE;259.72;424.37
28.00;359.14;t_2;264485079#0_0;16.95;0.00;12.68;DEFAULT_VEHTYPE;599.30;351.40
28.00;179.38;t_3;-19831701_0;10.39;0.00;18.09;DEFAULT_VEHTYPE;253.57;650.49
29.00;359.24;t_1;263965140#3_0;60.59;0.00;13.80;DEFAULT_VEHTYPE;259.54;438.17
29.00;359.14;t_2;:2840024686_4_0;2.80;0.00;12.91;DEFAULT_VEHTYPE;599.11;364.31
29.00;179.38;t_3;-19831701_0;29.87;0.00;19.47;DEFAULT_VEHTYPE;253.79;631.01
30.00;359.24;t_1;263965140#3_0;75.00;0.00;14.41;DEFAULT_VEHTYPE;259.35;452.58
30.00;359.14;t_2;264485079#1_0;5.82;0.00;12.43;DEFAULT_VEHTYPE;598.92;376.73
30.00;179.38;t_3;-19831701_0;50.31;0.00;20.44;DEFAULT_VEHTYPE;254.01;610.58
31.00;359.04;t_1;:cluster_249177474_9568166076_5_0;5.45;0.00;14.29;DEFAULT_VEHTYPE;259.14;466.87
31.00;359.14;t_2;264485079#1_0;17.70;0.00;11.87;DEFAULT_VEHTYPE;598.74;388.61
31.00;179.38;t_3;-19831701_0;66.51;0.00;16.21;DEFAULT_VEHTYPE;254.18;594.38
32.00;359.10;t_1;211138994#0_0;6.96;0.00;13.44;DEFAULT_VEHTYPE;258.92;480.32
32.00;359.18;t_2;264485079#1_0;29.81;0.00;12.11;DEFAULT_VEHTYPE;598.57;400.71
32.00;179.38;t_3;-19831701_0;78.67;0.00;12.16;DEFAULT_VEHTYPE;254.32;582.21
33.00;359.10;t_1;211138994#0_0;20.75;0.00;13.79;DEFAULT_VEHTYPE;258.70;494.10
33.00;359.18;t_2;264485079#1_0;42.78;0.00;12.97;DEFAULT_VEHTYPE;598.38;413.68
33.00;179.38;t_3;-19831701_0;86.34;0.00;7.66;DEFAULT_VEHTYPE;254.40;574.55
34.00;359.10;t_1;211138994#0_0;35.24;0.00;14.49;DEFAULT_VEHTYPE;258.47;508.59
34.00;359.18;t_2;264485079#1_0;55.17;0.00;12.39;DEFAULT_VEHTYPE;598.20;426.08
34.00;179.41;t_3;-19831701_0;90.74;0.00;4.40;DEFAULT_VEHTYPE;254.45;570.15
35.00;359.10;t_1;211138994#0_0;49.78;0.00;14.54;DEFAULT_VEHTYPE;258.25;523.13
35.00;359.18;t_2;264485079#1_0;67.44;0.00;12.27;DEFAULT_VEHTYPE;598.03;438.34
35.00;179.44;t_3;-19831701_0;91.62;0.00;0.88;DEFAULT_VEHTYPE;254.45;569.27
36.00;359.10;t_1;211138994#0_0;59.82;0.00;10.04;DEFAULT_VEHTYPE;258.09;533.17
36.00;359.18;t_2;264485079#1_0;80.42;0.00;12.98;DEFAULT_VEHTYPE;597.84;451.32
36.00;179.44;t_3;-19831701_0;91.64;0.00;0.02;DEFAULT_VEHTYPE;254.45;569.25
37.00;359.10;t_1;211138994#0_0;65.36;0.00;5.54;DEFAULT_VEHTYPE;258.00;538.71
37.00;359.06;t_2;:249177473_5_0;0.09;0.00;12.07;DEFAULT_VEHTYPE;597.66;463.38
37.00;179.44;t_3;-19831701_0;91.64;0.00;0.01;DEFAULT_VEHTYPE;254.45;569.25
38.00;359.10;t_1;211138994#0_0;66.40;0.00;1.04;DEFAULT_VEHTYPE;257.99;539.75
38.00;359.09;t_2;:249177473_5_0;12.71;0.00;12.61;DEFAULT_VEHTYPE;597.46;476.00
38.00;179.44;t_3;-19831701_0;91.65;0.00;0.01;DEFAULT_VEHTYPE;254.45;569.24
39.00;359.10;t_1;211138994#0_0;66.48;0.00;0.08;DEFAULT_VEHTYPE;257.99;539.83
39.00;359.47;t_2;264479892_0;11.17;0.00;12.88;DEFAULT_VEHTYPE;597.33;488.88
39.00;179.44;t_3;-19831701_0;91.65;0.00;0.00;DEFAULT_VEHTYPE;254.45;569.24
40.00;359.10;t_1;211138994#0_0;66.49;0.00;0.01;DEFAULT_VEHTYPE;257.99;539.84
40.00;359.47;t_2;264479892_0;23.32;0.00;12.15;DEFAULT_VEHTYPE;597.22;501.03
40.00;179.44;t_3;-19831701_0;91.65;0.00;0.00;DEFAULT_VEHTYPE;254.45;569.24
